article_id,article_title,part,points,notes
'159,Мошенничество,2,,есть примечание; есть указание о редакции
'159,Мошенничество,3,,есть примечание; есть указание о редакции
'159,Мошенничество,4,,есть примечание; есть указание о редакции
'159,Мошенничество,5,,есть примечание; есть указание о редакции
'159,Мошенничество,6,,есть примечание; есть указание о редакции
'159,Мошенничество,7,,есть примечание; есть указание о редакции
'159.1,Мошенничество в сфере кредитования,,,есть примечание; есть указание о редакции
'159.1,Мошенничество в сфере кредитования,1,,есть примечание; есть указание о редакции
'159.1,Мошенничество в сфере кредитования,2,,есть примечание; есть указание о редакции
'159.1,Мошенничество в сфере кредитования,3,,есть примечание; есть указание о редакции
'159.1,Мошенничество в сфере кредитования,4,,есть примечание; есть указание о редакции
'159.2,Мошенничество при получении выплат,,,есть указание о редакции
'159.2,Мошенничество при получении выплат,1,,есть указание о редакции
'159.2,Мошенничество при получении выплат,2,,есть указание о редакции
'159.2,Мошенничество при получении выплат,3,,есть указание о редакции
'159.2,Мошенничество при получении выплат,4,,есть указание о редакции
'159.3,Мошенничество с использованием электронных средств платежа,,,есть указание о редакции
'159.3,Мошенничество с использованием электронных средств платежа,1,,есть указание о редакции
'159.3,Мошенничество с использованием электронных средств платежа,2,,есть указание о редакции
'159.3,Мошенничество с использованием электронных средств платежа,3,,есть указание о редакции
'159.3,Мошенничество с использованием электронных средств платежа,4,,есть указание о редакции
'159.4,Утратила силу. - Федеральный закон от 03.07.2016 N 325-ФЗ.,,,
'159.5,Мошенничество в сфере страхования,,,есть указание о редакции
'159.5,Мошенничество в сфере страхования,1,,есть указание о редакции
'159.5,Мошенничество в сфере страхования,2,,есть указание о редакции
'159.5,Мошенничество в сфере страхования,3,,есть указание о редакции
'159.5,Мошенничество в сфере страхования,4,,есть указание о редакции
'159.6,Мошенничество в сфере компьютерной информации,,,есть указание о редакции
'159.6,Мошенничество в сфере компьютерной информации,1,,есть указание о редакции
'159.6,Мошенничество в сфере компьютерной информации,2,,есть указание о редакции
'159.6,Мошенничество в сфере компьютерной информации,3,а;б;в,есть указание о редакции
'159.6,Мошенничество в сфере компьютерной информации,4,,есть указание о редакции
'160,Присвоение или растрата,,,есть указание о редакции
'160,Присвоение или растрата,1,,есть указание о редакции
'160,Присвоение или растрата,2,,есть указание о редакции
'160,Присвоение или растрата,3,,есть указание о редакции
'160,Присвоение или растрата,4,,есть указание о редакции
'161,Грабеж,1,,есть указание о редакции
'161,Грабеж,2,а;б;в;г;д,есть указание о редакции
'161,Грабеж,3,а;б;в,есть указание о редакции
'162,Разбой,,,есть указание о редакции
'162,Разбой,1,,есть указание о редакции
'162,Разбой,2,,есть указание о редакции
'162,Разбой,3,,есть указание о редакции
'162,Разбой,4,а;б;в,есть указание о редакции
'163,Вымогательство,1,,есть указание о редакции
'163,Вымогательство,2,а;б;в;г,есть указание о редакции
'163,Вымогательство,3,а;б;в;г,есть указание о редакции
'164,"Хищение предметов, имеющих особую ценность",1,,есть указание о редакции
'164,"Хищение предметов, имеющих особую ценность",2,а;б;в,есть указание о редакции
'165,Причинение имущественного ущерба путем обмана или злоупотребления доверием,,,есть примечание; есть указание о редакции
'165,Причинение имущественного ущерба путем обмана или злоупотребления доверием,1,,есть примечание; есть указание о редакции
'165,Причинение имущественного ущерба путем обмана или злоупотребления доверием,2,а;б,есть примечание; есть указание о редакции
'166,Неправомерное завладение автомобилем или иным транспортным средством без цели хищения,1,,есть указание о редакции
'166,Неправомерное завладение автомобилем или иным транспортным средством без цели хищения,2,а;б;в,есть указание о редакции
'166,Неправомерное завладение автомобилем или иным транспортным средством без цели хищения,3,,есть указание о редакции
'166,Неправомерное завладение автомобилем или иным транспортным средством без цели хищения,4,,есть указание о редакции
'167,Умышленные уничтожение или повреждение имущества,1,,есть указание о редакции
'167,Умышленные уничтожение или повреждение имущества,2,,есть указание о редакции
